correct_count;total_attempts;accuracy;last_seen;wrong_count;days_since_last_seen;word_id;word;level;frequency;priority_score
2;4;0.5;2024-02-13;2;798;W1071;word_1071;A1;high;9.15
3;5;0.6;2024-03-03;2;779;W0981;word_981;A2;medium;7.95
0;2;0.0;2024-03-16;2;766;W1226;word_1226;C1;medium;7.48
0;1;0.0;2024-01-21;1;821;W1170;word_1170;B2;high;7.0
0;1;0.0;2024-01-22;1;820;W1168;word_1168;B2;high;6.96
0;1;0.0;2024-01-29;1;813;W1612;word_1612;A1;high;6.71
0;1;0.0;2024-02-08;1;803;W1784;word_1784;B1;high;6.34
2;4;0.5;2024-04-26;2;725;W0967;word_967;B1;medium;5.97
0;1;0.0;2024-02-26;1;785;W1795;word_1795;C2;high;5.67
0;1;0.0;2024-02-15;1;796;W1999;word_1999;C2;low;5.08
0;1;0.0;2024-03-28;1;754;W0788;word_788;B2;high;4.53
1;2;0.5;2024-03-28;1;754;W0089;word_89;C1;medium;4.03
