word;level;frequency;priority_score;type
word_48;C2;high;10.0;review
word_1187;A1;high;8.71;review
word_800;A1;high;8.12;review
word_406;C1;high;8.02;review
word_1949;C2;high;7.5;review
word_639;C1;medium;7.45;review
word_1200;C1;high;7.43;review
word_1154;C1;high;7.31;review
word_1635;C1;low;7.14;review
word_1633;A1;medium;7.0;review
word_716;B2;high;6.26;review
word_1565;C2;medium;6.24;review
word_764;B2;high;5.33;review
word_904;B2;high;4.76;review
word_1743;C1;medium;4.5;review
word_1513;C2;high;4.4;review
word_1995;A1;high;0.0;new
word_1981;A1;high;0.0;new
word_7;A1;high;0.0;new
word_1977;A1;high;0.0;new
